1,-0.001312256,0.00126648,-0.001052856
11,-6.87E-04,6.56E-04,0.00201416
21,-6.87E-04,-0.003616333,-0.00227356
31,-0.001312256,-5.65E-04,-4.43E-04
41,-0.001312256,0.004318237,0.00138855
51,0.00112915,4.58E-05,-4.43E-04
61,-0.001312256,6.56E-04,7.78E-04
71,5.34E-04,-0.001174927,1.68E-04
81,-9.16E-05,-0.004226685,-4.43E-04
91,5.34E-04,4.58E-05,-0.001052856
101,-6.87E-04,-0.00239563,7.78E-04
112,-6.87E-04,-0.001785278,7.78E-04
121,-9.16E-05,-0.001785278,1.68E-04
131,-0.001312256,6.56E-04,7.78E-04
141,-9.16E-05,-0.001785278,1.68E-04
151,5.34E-04,4.58E-05,-0.001663208
161,-9.16E-05,0.00126648,1.68E-04
171,0.00112915,-0.001785278,1.68E-04
181,5.34E-04,0.00553894,7.78E-04
191,-0.001312256,6.56E-04,-0.001052856
201,5.34E-04,-0.003005981,-4.43E-04
211,0.00112915,4.58E-05,7.78E-04
221,5.34E-04,0.002487183,0.00138855
232,-9.16E-05,-5.65E-04,0.00138855
241,-9.16E-05,-5.65E-04,1.68E-04
251,-9.16E-05,4.58E-05,-0.001052856
261,5.34E-04,6.56E-04,7.78E-04
271,5.34E-04,6.56E-04,-4.43E-04
281,-0.001312256,0.004318237,1.68E-04
291,-9.16E-05,0.00126648,7.78E-04
301,-9.16E-05,0.00126648,1.68E-04
311,-6.87E-04,0.00126648,1.68E-04
321,-9.16E-05,-0.004226685,-0.001052856
332,5.34E-04,-5.65E-04,-0.001663208
341,-6.87E-04,4.58E-05,1.68E-04
351,-9.16E-05,-5.65E-04,1.68E-04
361,-9.16E-05,-0.00239563,-4.43E-04
371,-9.16E-05,0.00126648,0.00138855
381,-6.87E-04,0.008590698,1.68E-04
391,-6.87E-04,0.00126648,-4.43E-04
401,-0.001312256,0.003707886,-4.43E-04
411,0.00112915,-5.65E-04,1.68E-04
422,-9.16E-05,0.001876831,-4.43E-04
431,0.00112915,-5.65E-04,-0.001663208
441,-6.87E-04,4.58E-05,-0.00227356
451,-9.16E-05,0.001876831,-4.43E-04
461,-9.16E-05,0.003097534,-4.43E-04
472,-9.16E-05,-5.65E-04,-0.001052856
481,-6.41E-04,-6.41E-04,-3.81E-04
492,-4.58E-05,0.001190186,-3.81E-04
501,-0.002487183,0.001800537,-3.81E-04
511,5.80E-04,-6.41E-04,-9.92E-04
522,-4.58E-05,-6.41E-04,-3.81E-04
531,5.80E-04,-6.41E-04,-3.81E-04
541,5.80E-04,-6.41E-04,-3.81E-04
551,-4.58E-05,0.00302124,-3.81E-04
562,-6.41E-04,-3.05E-05,8.39E-04
571,5.80E-04,-0.002471924,-9.92E-04
581,-4.58E-05,-0.001251221,2.29E-04
591,-4.58E-05,0.001190186,-9.92E-04
601,5.80E-04,-0.001251221,-3.81E-04
611,5.80E-04,-6.41E-04,2.29E-04
622,0.001174927,0.001800537,8.39E-04
631,0.001174927,0.001800537,8.39E-04
641,5.80E-04,-3.05E-05,8.39E-04
651,-4.58E-05,5.80E-04,2.29E-04
661,-6.41E-04,-3.05E-05,0.001449585
671,5.80E-04,-6.41E-04,-9.92E-04
681,-0.00126648,0.002410889,-9.92E-04
692,-4.58E-05,-6.41E-04,-0.001602173
701,-0.00126648,-6.41E-04,2.29E-04
711,-4.58E-05,-3.05E-05,2.29E-04
721,5.80E-04,-3.05E-05,-3.81E-04
731,5.80E-04,5.80E-04,2.29E-04
741,-4.58E-05,-6.41E-04,-9.92E-04
751,-6.41E-04,0.001190186,-9.92E-04
761,5.80E-04,-6.41E-04,2.29E-04
771,5.80E-04,-6.41E-04,2.29E-04
781,5.80E-04,-3.05E-05,2.29E-04
791,0.001174927,-6.41E-04,-3.81E-04
802,-4.58E-05,-3.05E-05,2.29E-04
811,5.80E-04,-6.41E-04,-3.81E-04
821,-0.001876831,5.80E-04,-9.92E-04
831,5.80E-04,-6.41E-04,8.39E-04
841,-4.58E-05,5.80E-04,-9.92E-04
851,-4.58E-05,-3.05E-05,-9.92E-04
861,-4.58E-05,-3.05E-05,2.29E-04
871,-6.41E-04,-3.05E-05,2.29E-04
881,-4.58E-05,-0.002471924,-0.002212524
891,-6.41E-04,5.80E-04,2.29E-04
902,0.001174927,5.80E-04,2.29E-04
911,0.001174927,-6.41E-04,2.29E-04
921,5.80E-04,-3.05E-05,0.001449585
931,5.80E-04,-3.05E-05,8.39E-04
941,0.001800537,5.80E-04,2.29E-04
951,0.001174927,-3.05E-05,8.39E-04
961,5.80E-04,-6.41E-04,2.29E-04
